id_author,name_author,surname_author,isbn,tittle_book,name_publisher,book_available,book_id,id_person1,telephone,name,surname,attrbutte,date_hiring,hire_date,tittle_category,id_category,id_person2,name2
27,Noellyn,Roback,745051915-1,Hothead (Coup de tête),"Marquardt, Kub and Lesch",YES,727,931,9132395821,Ferdinand,Fegan,Other,7/7/75,11/17/01,Music,1110,978,
28,Nathanael,McGaughie,129041316-9,Kolberg,McKenzie-Jacobi,NO,783,987,3542410968,Engelbert,Djurevic,Teacher,2/17/99,9/21/78,Leaders & Notable People,1123,972,
29,Konrad,Marney,438737299-0,Pohjanmaa,Jast-Streich,NO,747,951,1723635350,Darcy,McGee,Teacher,2/21/67,6/3/06,Cultural,8100,979,
30,Dominick,Pilsbury,689546904-4,Non-Stop,Dicki-Kuvalis,YES,777,981,1411909535,Cordell,Gronaver,Teacher,10/31/79,9/4/70,Women,1137,940,
31,Leif,Lacy,429406826-4,Wrestling with Alligators,Hyatt and Sons,YES,734,938,2014886267,Gayle,Jeram,Other,7/25/89,2/11/00,Comic Strips,1139,920,
32,Maje,Guerre,114555896-8,2001: A Space Odyssey,Marvin-Kuhlman,NO,757,961,4728445900,Caresse,Pecht,Teacher,7/30/62,5/25/00,Islamic,1141,999,
33,Jill,Broomfield,619546619-0,Gate of Flesh (Nikutai no mon),Anderson-Schamberger,NO,770,974,9777822026,Rhiamon,Kraut,Teacher,10/2/76,3/13/77,Performing Arts,1155,975,
34,Jewelle,Emmett,004541988-4,"Stone Angel, The","Leannon, Bogisich and Marvin",NO,719,923,9389816662,Danny,Giacomuzzi,Student,1/23/99,6/26/11,Entertainers,1159,943,
35,Chrissie,Justham,815118832-4,"Kids in the Hall: Same Guys, New Dresses",Berge Inc,YES,778,982,6479104552,Twila,Minster,Other,10/2/66,3/28/05,DC Comics,1160,915,
36,Jaime,Prantoni,366580840-5,Female Trouble,Klocko-O'Connell,NO,786,990,6729880510,Sabine,Maytom,Other,6/3/80,3/21/66,Trivia,1163,909,
37,Myrle,Vann,079421150-X,"Imposter, The",Bruen-Macejkovic,YES,738,942,1188548488,Calhoun,Giraux,Other,8/19/88,12/19/61,Brain Teasers,1167,993,
38,Gus,Mepsted,658994404-0,42,Johnston LLC,NO,717,921,7162077406,Stearn,O'Hartigan,Student,11/4/76,9/29/15,Sci-Fi,1174,941,
39,Eleen,Dillinger,014544344-2,Challenge of the Masters (Liu A-Cai yu Huang Fei-Hong),"Abernathy, Leannon and Fahey",YES,400,900,2974863742,Scotty,Gruczka,Other,7/19/87,10/16/10,Organized Crime,7900,970,
40,Lynelle,Loveitt,642767760-8,America 3000,Hartmann LLC,YES,728,932,8186854429,Tabbi,Yewdell,Teacher,2/24/73,10/7/86,International,1176,963,
41,Nicol,Lander,477741285-7,SuperBabies: Baby Geniuses 2,Adams Inc,YES,705,906,2773247196,Artemis,Greenman,Student,5/15/76,5/17/05,Economics,1185,994,
42,Stanton,Hilling,017161193-4,"Night to Remember, A",Schmidt and Sons,YES,744,948,3092643692,Dionysus,Banford,Other,3/5/61,6/21/64,Socialism,1191,910,
43,Ham,Bank,786106534-0,Bride Flight,Kirlin-Kshlerin,NO,773,977,3835836770,Stacee,Reims,Other,12/18/80,4/4/89,Criminal Law,1194,912,
44,Gibb,Rudolfer,210613171-2,Heat,Runolfsdottir and Sons,NO,742,946,2394028135,Zitella,Tregale,Teacher,2/17/64,11/29/86,Individual Artists,1207,964,
45,Care,Denney,678114177-5,Who Pulled the Plug? (Göta kanal eller Vem drog ur proppen?),Langworth and Sons,NO,741,945,5171201539,Tess,Checkley,Other,7/8/70,9/11/17,Art History,1210,992,
46,Neville,Creffeild,803274548-3,"Protector, The (a.k.a. Warrior King) (Tom yum goong)","Homenick, Schoen and Reichel",NO,792,996,4283092658,Martie,Fahy,Other,12/6/70,6/25/63,Earth-Based Religions,1213,902,
47,Rosabella,Norley,741296146-2,Call Me Kuchu,Corkery LLC,YES,729,933,5951503259,Venus,Airy,Other,8/9/98,1/2/83,Management,1224,922,
48,Regan,Ortiga,795600456-X,Pigsty (Porcile),Dietrich Inc,NO,722,926,9838130238,Kassi,Petrik,Teacher,2/25/88,8/11/17,Games,1225,930,
49,Arni,Simonian,225305530-1,"Hasty Heart, The","Hauck, Witting and Bins",YES,793,997,6552508331,Kip,Wallage,Other,1/6/67,2/3/75,Buddhism,7901,935,
50,Enrika,Auld,237359496-X,"Story of Women (Affaire de femmes, Une)","Gulgowski, Shanahan and Koch",YES,703,1200,1018966193,Alfy,Waddy,Other,2/15/66,9/21/80,Immigration,1229,1110,
51,Ludovika,Kadwallider,383857865-1,Fun and Fancy Free,Effertz and Sons,YES,703,,1952074655,Sandie,Brimmell,,11/16/81,12/7/13,Baseball & Softball,1232,,
52,Nomi,Asaaf,932601563-7,Visitor to a Museum (Posetitel muzeya),Brakus-Jaskolski,YES,703,,1325084378,Bancroft,Klesel,,4/1/82,8/27/85,Painting,7902,,
53,Gregg,Burgwin,865724293-1,21 Jump Street,Beahan-Koepp,YES,703,,2839410019,Berta,O'Reilly,,6/19/87,6/17/77,Management,1236,,
54,Emeline,Garmons,734795379-0,Nickelodeon,"Bailey, Effertz and Ebert",NO,703,,4516436861,Pancho,McCreery,,1/4/79,10/27/90,New Age,1244,,
55,Graehme,Lytton,762305364-7,In Too Deep,Schowalter Inc,YES,703,,6077247366,Kean,Masi,,12/4/91,6/14/97,Ethnic & Cultural,1262,,
56,Terrence,Baldinotti,219680099-6,"Star, The","Wintheiser, Paucek and Keeling",NO,703,,2624993581,Chan,Spadazzi,,7/21/62,10/5/94,Industries,1268,,
57,Katalin,Stathers,491730597-7,Beginning of an Unknown Era (Nachalo nevedomogo veka),Klocko Inc,NO,703,,9857592456,Cahra,Pulhoster,,4/12/87,3/9/72,Astrology,1277,,
58,Kaile,Clackson,856137863-8,Busses Roar (Buses Roar),Waelchi and Sons,NO,703,,7854581460,Bradley,Dowson,,10/28/64,7/10/09,Comparative Religion,1282,,
59,Glynn,Giaomozzo,200233457-9,Eggs,Muller-Veum,NO,703,,6493277403,Nicholas,Dawe,,11/19/94,1/3/06,Judaism,1284,,
60,Pall,Valiant,299825791-7,Bon Voyage,Satterfield-Von,NO,703,,6286238544,Ettore,Theze,,4/13/90,2/4/66,Canadian Politics,1288,,
61,Paddy,Baraja,017624576-6,Audition (Ôdishon),Stokes LLC,YES,703,,8479712651,Enrika,Sheddan,,2/18/72,12/5/75,Manga,1296,,
62,Art,Youles,568732782-7,Sunday,Harvey-Quitzon,NO,703,,3802354805,Nicoli,Labbett,,12/26/69,8/11/64,Philosophy,1297,,
63,Everard,Campes,508630244-7,Saraband,Boyle-Feest,YES,703,,2355083844,Justinn,Casaccio,,3/27/96,3/25/80,Atheism,2345,,
64,Meggie,Yendall,542983754-7,Castle of Purity (El castillo de la pureza),Toy-Reilly,NO,703,,1603039672,Aylmar,Clausen-Thue,,8/9/66,6/18/70,Civil Rights,1299,,
65,Osborn,McClymont,697255479-9,"Incredible Shrinking Man, The","Howe, Grimes and Pacocha",YES,703,,6606630286,Eldredge,Canet,,5/1/89,9/8/05,Famous Criminals,1301,,
66,Heindrick,Lowndes,843419082-6,"Pervert's Guide to Ideology, The",Funk-Frami,NO,703,,3049452580,Breena,Chilley,,9/19/75,8/11/83,Humor,1306,,
67,Veda,Koenraad,725858936-8,American Pie Presents: Band Camp (American Pie 4: Band Camp),Fahey Inc,YES,703,,2856786040,Anitra,Whitesel,,7/12/93,3/30/84,Ethnic Studies,1308,,
68,Gilbertina,Studders,158806568-5,"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott)",Cummerata Group,YES,703,,3168143584,Ragnar,Callinan,,1/3/69,2/13/20,History of Religion,1322,,
69,Michail,Keymar,830957434-7,G.I. Joe: Operation Dragonfire,Satterfield-Rempel,YES,703,,9804216365,Sandye,Wildey,,9/3/69,6/30/70,Boating & Sailing,1327,,
70,Jorge,Elvins,076031332-6,"Night of the Hunted, The (Nuit des traquées, La)",Herzog-Kautzer,YES,703,,8891321690,Barbabas,Bulteel,,11/24/60,9/19/64,National Security,1331,,
71,Finn,Dumbar,680965529-8,Stella,"Moen, Osinski and Klein",NO,703,,8216367670,Allx,Coope,,4/5/98,10/27/68,Terrorism,3000,,
72,Carita,Brocket,869110723-5,Fun Size,Johns-Beier,YES,703,,7658460419,Melinda,Lowell,,8/14/71,8/2/76,Serial Killers,1342,,
73,Sara,Frossell,016881381-5,Purple Butterfly (Zi hudie),Armstrong LLC,YES,703,,9463988503,Barb,Kernell,,9/1/99,10/1/81,Camping,1352,,
74,Cloe,Wilcott,474820536-9,"Cabinet of Dr. Ramirez, The","Flatley, Muller and Heller",NO,703,,8581449652,Flossy,Ashenhurst,,10/25/86,5/26/99,Careers,1373,,
75,Salvador,Gilbane,706027228-3,Distance,Dickens-O'Kon,YES,703,,4946983065,Kristel,Baughen,,5/19/66,3/8/07,Occult,1374,,
76,Catherina,Fardy,168335871-6,"Core, The",Murphy LLC,YES,703,,3378858803,Jenn,McSkin,,5/18/78,10/23/96,Murder & Mayhem,1377,,
77,Keelby,Lavery,328893952-5,"Men Who Stare at Goats, The",Hintz-Hyatt,NO,703,,8661899292,Jamie,Bryns,,12/30/91,1/23/73,Humanities,1384,,
78,Dur,Wickstead,922147998-6,Batman: Mask of the Phantasm,Shanahan Group,NO,703,,4911257845,Annie,Crucitti,,6/8/72,7/15/86,Comparative Politics,1388,,
79,Twila,Brumpton,776819890-5,Dr. Goldfoot and the Bikini Machine,Pouros-Upton,YES,703,,1053365519,Freda,Hartness,,10/27/85,3/1/79,Finance,1389,,
80,Kit,Mallebone,205685834-7,Viva,Heidenreich Inc,YES,703,,3514347926,Dav,Doggart,,4/8/68,2/6/12,Inspirational,1397,,
81,Teodoro,Propper,143994038-X,Beyond the Door II (Schock) (Shock) (Suspense),Altenwerth-Parisian,NO,703,,4848274005,Brittany,Rooke,,9/16/71,11/18/08,Anarchy,1401,,
82,Augie,Kowal,377944032-6,Almost Married,Boehm Group,YES,703,,1224138053,Felicdad,Strutz,,4/25/78,1/30/93,Democracy,1404,,
83,Katalin,Kelland,896742511-2,"Get2Gether, A",Spinka LLC,NO,703,,4368866183,Bjorn,Myles,,9/1/94,3/14/99,Elections,1405,,
84,Ruben,Abramowitz,507465787-3,Sekirei,Rowe LLC,NO,703,,7187480920,Alanson,Rathmell,,5/8/80,4/12/85,Basketball,1415,,
85,Loralee,Kernocke,349310848-6,Morphia (Morfiy),"West, Mills and Herman",YES,703,,4835348340,Fraser,Poundsford,,10/25/89,12/31/90,Poverty,1419,,
86,Bear,Netley,057726035-9,Thoroughly Modern Millie,"Mraz, Roberts and Lehner",NO,703,,5878405700,Clim,Marton,,5/23/94,6/16/87,Dark Horse,1431,,
87,Harris,Luttger,153054574-9,Wild River,Runolfsson-Dickinson,YES,703,,4861168591,Eudora,Schruur,,1/14/75,7/23/76,Hinduism,1432,,
88,Clemmie,Heckney,637883043-6,When Father Was Away on Business (Otac na sluzbenom putu),Cummerata-Kozey,YES,703,,2793843163,Mathilda,Lorand,,8/19/89,9/17/04,Drawing,1435,,
89,Selma,Lashford,190610351-8,"Girl, The",Bartoletti LLC,YES,703,,6049119759,Antonin,Slowcock,,5/8/78,3/28/75,Sculpture,1437,,
90,Wilt,Bubear,349090423-0,Young & Beautiful,"Padberg, Cronin and Kiehn",YES,703,,2748210936,Cass,Oakenfield,,5/3/71,5/22/11,Europe,1444,,
91,Catherine,Jeacop,701840119-4,With a Song in My Heart,"Muller, Cummings and Wilderman",YES,703,,9914185796,Florri,Le Provost,,9/20/92,12/10/88,Political Parties,1451,,
92,Laureen,Shilstone,536194124-7,Cloudy with a Chance of Meatballs 2,"Wiegand, Schuppe and Connelly",NO,703,,5781913866,Danila,Stallen,,5/25/79,9/24/19,Women's Studies,1457,,
93,Sandor,Rann,380177577-1,My Last Day Without You (Nie mehr ohne Dich),Conroy and Sons,YES,703,,8902376066,Siward,Udale,,3/31/00,12/10/87,Word Games,1464,,
94,Thaddeus,Lattos,828725394-2,Fruitvale Station,Gaylord Inc,NO,703,,4632936439,Moyra,Foyston,,8/7/93,4/8/65,Photography,1468,,
95,Pauly,Guppey,957351955-0,The Emperor of California,"Kunze, Abbott and Keeling",YES,703,,7566946280,Joyous,Rands,,6/19/77,4/24/00,Marvel,1469,,
96,Yasmeen,Wethered,416361717-5,"Last Trapper, The (Le dernier trappeur)",Buckridge-Sawayn,NO,703,,4725972791,Jimmy,Elsay,,1/2/00,7/17/66,Football,1470,,
97,Marcus,Ivens,684481935-8,"Kid, The",Willms Group,NO,703,,8955091223,Esmaria,Schruyer,,11/13/64,9/29/63,Satire,1473,,
98,Christean,Hilland,079219815-8,Petting Zoo,"Altenwerth, Roob and Mohr",NO,703,,5791249364,Babita,Mizen,,7/16/69,8/9/15,Small Business,1478,,
99,Tyson,Grutchfield,074358842-8,Ingmar Bergman on Life and Work (Ingmar Bergman: Om liv och arbete),Wilkinson-Kub,NO,703,,1694102322,Kendall,Hebbs,,2/13/00,3/4/87,Modern,1487,,
100,Cinderella,Bartalot,563110059-2,Home Run,Wilkinson Inc,YES,703,,2459962654,Danette,Eden,,11/26/60,7/15/02,Noir,1488,,
,,,,,,,,,,,,,,,Modern Poetry,1489,,
